No.,Time,Length,Source-port,Destination-port,Seq-no,Ack-no,Length,data,Outgoing TURN-TURNACK delay,Inbound TURN-TURNACK delay
31,3.771182567,79,9876,34934,Seq=80,Ack=26,Len=13,TURN 001 3 1,,
33,3.77128466,79,34934,9876,Seq=26,Ack=93,Len=13,TURN-ACK 001,,0.000102093
35,3.771393155,79,34934,9876,Seq=39,Ack=93,Len=13,TURN 002 3 3,0.000610391,
37,3.772003546,79,9876,34934,Seq=93,Ack=52,Len=13,TURN-ACK 002,,
47,3.772982225,79,9876,34934,Seq=106,Ack=52,Len=13,TURN 003 1 2,,0.000978679
49,3.77305883,79,34934,9876,Seq=52,Ack=119,Len=13,TURN-ACK 003,,
51,3.773126895,79,34934,9876,Seq=65,Ack=119,Len=13,TURN 004 2 2,0.000630146,
53,3.773757041,79,9876,34934,Seq=119,Ack=78,Len=13,TURN-ACK 004,,
62,3.814241974,79,9876,34934,Seq=132,Ack=78,Len=13,TURN 005 2 3,,0.040484933
64,3.814625035,79,34934,9876,Seq=78,Ack=145,Len=13,TURN-ACK 005,,
66,3.814774403,79,34934,9876,Seq=91,Ack=145,Len=13,TURN 006 3 2,0.000932907,
69,3.81570731,79,9876,34934,Seq=145,Ack=104,Len=13,TURN-ACK 006,,
79,3.816900787,79,9876,34934,Seq=158,Ack=104,Len=13,TURN 007 2 1,,0.001193477
81,3.817007826,79,34934,9876,Seq=104,Ack=171,Len=13,TURN-ACK 007,,
83,3.817096227,79,34934,9876,Seq=117,Ack=171,Len=13,TURN 008 1 3,0.00060668,
85,3.817702907,79,9876,34934,Seq=171,Ack=130,Len=13,TURN-ACK 008,,
100,3.819103626,79,9876,34934,Seq=198,Ack=143,Len=13,TURN 009 1 1,,
